2764765614,acta informatica medica aim journal of the society for medical informatics of bosnia & herzegovina casopis drustva za medicinsku informatiku bih,0353-8109
2764777997,understanding our gifted,1040-1350
2764790536,venus the japanese journal of malacology,
2764802933,audit & economy research,
2764816704,chinexe journal of pediatrics,
2764840044,advances in engineering education,1941-1766
2764891941,mary slessor journal of medicine,1119-409X
2764893415,journal of henan polytechnic university,
2764913414,international journal of automotive engineering and technologies,2146-9067
2764914145,materials performance and characterization,2165-3992
2764928114,hellenic plant protection journal,1791-3691
2764935863,journal of hunan normal university,
2764939636,journal of apoplexy and nervous diseases,
2764943721,the great basin naturalist,0017-3614
2764947659,gansu medical journal,
2764962664,the national archive in koszalin,
2764967754,scandinavian journal of social medicine,0300-8037
2764986045,automation in water rescources and hydrology,
2765000471,journal of the american society of cytopathology,2213-2945
2765005547,journal of applied chemistry of the ussr,0021-888X
2765013190,indian journal of vascular and endovascular surgery,
2765018328,infection control the japanese journal of infection control,0919-1011
2765037173,foreign medical sciences biomedical engineering,
2765043269,journal sogc,0849-5831
2765043371,the changing role of physics departments in modern universities,
2765075093,international journal of institutions and economies,1985-7276
2765075295,the british journal of cardiology,0969-6113
2898245483,one health,2352-7714
2898321583,alzheimer s & dementia translational research & clinical interventions,2352-8737
2898407734,mindfulness & compassion,2445-4079
2913123441,the japanese journal of ergonomics,0549-4974
2930564686,buletin agrohorti,2337-3407
1254427,asia pacific journal of operational research,0217-5959
11189987,electronic colloquium on computational complexity,1433-8092
14063520,journal of mediterranean archaeology,0952-7648
15249443,japanese journal of limnology (rikusuigaku zasshi),
15774498,slavic and east european journal,0037-6752
16561315,crystal growth & design,1528-7483
19143454,cellular & molecular immunology,1672-7681
31551615,bioethics,0269-9702
32491150,europhysics news,0531-7479
34975756,journal of global responsibility,2041-2568
36470231,indian journal of dermatology venereology and leprology,0378-6323
36524903,asian journal of law and economics,2154-4611
37159027,korean journal of gynecologic oncology,1738-6543
38543998,oncology nursing forum,0190-535X
38691782,critique of anthropology,0308-275X
39297025,child & family behavior therapy,0731-7107
44673795,journal of hindu christian studies,2164-6260
45372229,the world economy,0378-5920
46425039,technical sciences,1505-4675
50523690,ieee transactions on magnetics,0018-9464
52128801,archaeology,0003-8113
53740810,geoscientific model development discussions,
54223024,industria textila,1222-5347
57658676,journal of financial management of property and construction,1366-4387
58990993,journal of integrative plant biology,1672-9072
60370611,critical arts,0256-0046
60779006,computers in industry,0166-3615
60973665,ieee engineering management review,0360-8581
66641997,journal of hiv aids prevention in children & youth,1553-8346
67033765,africa today,0001-9887
67329080,international journal of learning technology,1477-8386
69865314,advances in mergers and acquisitions,1479-361X
70478294,the journal of logic and algebraic programming,1567-8326
70949411,revue francaise de sociologie,
74358882,indiana health law review,1549-3199
74845278,journal of social history,0022-4529
76380146,eurasip journal on embedded systems,
80350757,current radiopharmaceuticals,1874-4710
81624066,journal of mathematical chemistry,0259-9791
86586338,international journal of web engineering and technology,1476-1289
86871763,sports health a multidisciplinary approach,1941-0921
89184246,african journal of international affairs,0850-7902
90745127,journal of thoracic oncology,1556-0864
91403448,human vaccines,1554-8600
91748803,veterinary microbiology,0378-1135
97068678,aslib proceedings,
99918997,complex variables,0278-1077
101964497,vestnik moskovskogo universiteta seriya 2 khimiya,0579-9384
102860129,reading research quarterly,0034-0553
105091050,british journal of canadian studies,0269-9222
106099243,public health reports,0033-3549
106385052,international journal of information communication technologies and human development,1935-5661
110346167,british journal of educational technology,0007-1013
110615584,international journal on digital libraries,1432-1300
111362775,journal of ultrasound in medicine,0278-4297
115004586,computer communications,0140-3664
117294868,aleph historical studies in science & judaism,1565-1525
117342566,arbitrium,0723-2977
123060138,ieee electrical insulation magazine,0883-7554
126920787,mathematical research letters,1073-2780
131011716,physica status solidi (c),
133090505,journal for the study of the old testament,0309-0892
138008841,trabajos de estadistica y de investigacion operativa,
138240904,calculus of variations and partial differential equations,0944-2669
138391592,therapeutic advances in musculoskeletal disease,1759-720X
139720354,spie professional,
145859750,international journal for simulation and multidisciplinary design optimization,1779-6288
147265922,comparative sociology,1569-1322
151589183,biochemical and biophysical research communications,0006-291X
152063775,international journal of non linear mechanics,0020-7462
153381426,shock and vibration,1070-9622
161957261,journal of applied animal research,0971-2119
162396576,champ psychosomatique,1266-5371
162636843,maternal and child nutrition,1740-8695
171239022,international journal of sexuality and gender studies,1566-1768
171918450,biomass & bioenergy,0961-9534
173414456,atropos,1478-8128
173952958,attention perception & psychophysics,0031-5117
176313377,topics in catalysis,1022-5528
176982244,acta protozoologica,0065-1583
177238307,tesol quarterly,0039-8322
180784258,the review of black political economy,0034-6446
180817373,asian journal of medical sciences,2091-0576
186038092,international journal of computer games technology,1687-7047
186307442,bulletin of the crimean astrophysical observatory,
189704783,heart international,1826-1868
192722082,international journal of molecular medicine,1107-3756
201209991,journal of gerontological social work,0163-4372
982160484,ptb mitteilungen,
2478001734,ieee journal on exploratory solid state computational devices and circuits,2329-9231
2483040032,ieee consumer electronics magazine,2162-2248
2501411041,british journal of occupational therapy,0308-0226
2735447094,the journals of gerontology series b,1079-5014
2736201085,afterall a journal of art context and enquiry,
2736369396,revista esmat,2177-0360
2736567517,facta universitatis series economics and organization,
2736666533,revista medica herediana,1018-130X
2736765223,analele universitatii din oradea fascicula biologie,1224-5119
2736900176,mediekultur journal of media and communication research,0900-9671
2736936097,paisagem e ambiente,0104-6098
2737073747,albanian journal of agricultural sciences,2218-2020
2737402097,reflexao & acao,0103-8842
2738018412,journal of military and information science,2148-3124
2738072461,gazi medical journal,1300-056X
2738266413,professions and professionalism,1893-1049
2738443415,revista de psicologia clinica con ninos y adolescentes,2340-8340
2738635457,international journal of agriculture system,2337-9782
2738695179,journal of production and operations management,2251-6409
2738804592,cambridge journal of eurasian studies,2514-4634
2739293731,dinamika ilmu,1411-3031
2739307064,contemporary economy,2082-677X
2739583531,electronics and power,0013-5127
2751627058,zhurnal mikrobiologii epidemiologii i immunobiologii,
2754654680,zeitschrift fur krebsforschung,0301-1585
2755623599,minerva ortopedica,0026-4911
2755633501,acta oto rhino laryngologica belgica,0001-6497
2756057097,revista espanola de estomatologia,0484-7563
2764370614,korean journal of animal sciences,
2764375490,earthsong journal perspectives in ecology spirituality and education,
2764377597,journal of school public relations,0741-3653
2764387026,journal of the geodetic society of japan,
2764395723,ringing and migration,0307-8698
2764401913,china meas urement,
2764405951,nawcc bulletin,1527-1609
2764415853,journal of information display,1598-0316
2764421102,advances in scientific and applied accounting,1983-8611
2764434969,the iowa homemaker,
2764440780,journal of neuro visceral relations,0022-3026
2764442833,diaspora studies,0973-9572
2764455990,sangyo igaku,
2764473664,journal of jiangsu radio & television university,
2764497460,materials science and engineering of powder metallargy,
2764503352,journal of animal production research,0189-0514
2764504928,rural theology,
2764518072,the internet journal of alternative medicine,
2764539731,iowa state college journal of science,
2764542932,school science journal,2093-7407
2764551224,htm journal of heat treatment and materials,1867-2493
2764558229,annual progress in child psychiatry and child development,0066-4030
2764573807,research on addiction,
2764585551,vestnik oftalmologii,0042-465X
2764590515,sociology of islam,2213-140X
2764599784,african social research,0002-0168
2764605284,chinese health quality management,1006-7515
2764613088,series history international relations,
2764623086,journal for construction and experiment in archaeology,
2764639123,journal of shandong women s university,
2764639862,journal of gui yang teacher s college,
2764653802,economy of region,
2764656019,harofe haivri the hebrew medical journal,
2764666733,journal of qiqihar medical college,
2764671407,nutritional sciences journal,1011-6958
2764689634,the canadian journal of program evaluation,0834-1516
2764707498,korean journal of family pracice,
2764719203,japanese society of pediatric cardiology and cardiac surgery,
2764722597,european food and feed law review,1862-2720
2764746475,collaborative anthropologies,1943-2550
2764747293,elts journal,2334-1841
2764759848,northwest education,
2764761623,journal of youth and theology,1741-0819
2764761869,architecture and culture,2050-7828
2764771702,journal of economics and international finance,
2764778681,annals of the tohoku geographycal asocciation,0387-2777
2764781027,journal of sichuan normal university,
2764816359,fishery modernization,
2764816640,journal of human virology & retrovirology,2373-6453
2764830874,journal of radiation oncology,1948-7908
2764832820,journal of capital university of physical education and sports,
2764834030,chinese journal of management,1672-884X
2764844094,journal of the water resources planning and management division,0145-0743
2764853591,journal of northwest institute of light industry,
2764856173,design & technology teaching,0958-3017
2764856483,school health review,0036-6579
2764923984,law the journal of the higher school of economics,2072-8166
2764934221,asian fisheries science,0116-6514
2764938386,journal of economic sociology,
2764939493,international journal of healthcare management,2047-9700
2764954735,technological horizons in education,
2764965410,journal of the american institute of electrical engineers,0360-6449
2764983987,item held by yarra libraries,
2764998504,journal of the indian society of toxicology,0973-3558
2765021902,railroad history,0090-7847
2765024363,journal of wuxi institute of commerce,
2765046284,canadian journal of environmental education,1205-5352
2765066350,oil and gas business,
2765066437,spanish journal of rural development,2171-1216
2765071269,international journal of scientific and engineering research,
2765072746,report modelling analysis and simulation,1386-3703
2898139859,food webs,2352-2496
2898463701,journal of african trade,2214-8515
2914225721,sam advanced management journal,0036-0805
2919129698,diabetes and endocrinology,2639-8176
2962973293,adbu journal of electrical and electronics engineering (ajeee),2582-0257
3035434843,built heritage,2096-3041
2552936,advances in free radical biology & medicine,1878-075X
2687614,drugs & therapy perspectives,1172-0360
5743915,journal of computer assisted learning,0266-4909
11392764,journal of environmental and public health,1687-9805
11629336,biomacromolecules,1525-7797
13982976,comprehensive therapy,0098-8243
16177022,energy in agriculture,0167-5826
17147961,international journal of cooperative information systems,0218-8430
17886355,suiei suichu undo kagaku,
21476359,journal of power electronics,1598-2092
22138105,entomologist s gazette,0013-8894
22980727,journal of environmental engineering and science,1496-2551
